"","Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"206","Regulation Of Neuron Death (GO:1901214)","2/58",0.0341280219187038,0.165937028203705,0,0,7.23177842565598,24.4263185896388,"WNT5A;FYN"
"207","Response To Organic Cyclic Compound (GO:0014070)","2/58",0.0341280219187038,0.165937028203705,0,0,7.23177842565598,24.4263185896388,"ANXA1;CYP1B1"
"208","Positive Regulation Of Cell Population Proliferation (GO:0008284)","6/483",0.0342747630151207,0.165937028203705,0,0,2.59909005754048,8.76762996549433,"PRC1;WNT5A;S100A6;ROMO1;SLC25A5;NME1"
"209","ADP Transport (GO:0015866)","1/7",0.0344842492004147,0.165937028203705,0,0,33.4915824915825,112.774618360503,"SLC25A5"
"210","Regulation Of Chromosome Condensation (GO:0060623)","1/7",0.0344842492004147,0.165937028203705,0,0,33.4915824915825,112.774618360503,"SMC4"
"211","DNA Ligation (GO:0006266)","1/7",0.0344842492004147,0.165937028203705,0,0,33.4915824915825,112.774618360503,"TOP2A"
"212","Negative Regulation Of Neural Precursor Cell Proliferation (GO:2000178)","1/7",0.0344842492004147,0.165937028203705,0,0,33.4915824915825,112.774618360503,"WNT5A"
"213","Negative Regulation Of Phospholipase Activity (GO:0010519)","1/7",0.0344842492004147,0.165937028203705,0,0,33.4915824915825,112.774618360503,"ANXA1"
"214","Regulation Of Lymphocyte Apoptotic Process (GO:0070228)","1/7",0.0344842492004147,0.165937028203705,0,0,33.4915824915825,112.774618360503,"LGALS3"
"215","Regulation Of Mitophagy (GO:1901524)","1/7",0.0344842492004147,0.165937028203705,0,0,33.4915824915825,112.774618360503,"SLC25A5"
"216","Regulation Of Phospholipase A2 Activity (GO:0032429)","1/7",0.0344842492004147,0.165937028203705,0,0,33.4915824915825,112.774618360503,"ANXA1"
"217","Nucleobase-Containing Small Molecule Interconversion (GO:0015949)","1/7",0.0344842492004147,0.165937028203705,0,0,33.4915824915825,112.774618360503,"GUK1"
"218","Regulation Of Protein Localization To Cell Cortex (GO:1904776)","1/7",0.0344842492004147,0.165937028203705,0,0,33.4915824915825,112.774618360503,"PLK1"
"219","Positive Regulation By Host Of Viral Genome Replication (GO:0044829)","1/7",0.0344842492004147,0.165937028203705,0,0,33.4915824915825,112.774618360503,"NUCKS1"
"220","Regulation Of Vascular Wound Healing (GO:0061043)","1/7",0.0344842492004147,0.165937028203705,0,0,33.4915824915825,112.774618360503,"SERPINE1"
"221","Positive Regulation Of Calcium Ion Import (GO:0090280)","1/7",0.0344842492004147,0.165937028203705,0,0,33.4915824915825,112.774618360503,"LGALS3"
"222","Positive Regulation Of Chromosome Condensation (GO:1905821)","1/7",0.0344842492004147,0.165937028203705,0,0,33.4915824915825,112.774618360503,"SMC4"
"223","Positive Regulation Of Leukocyte Differentiation (GO:1902107)","1/7",0.0344842492004147,0.165937028203705,0,0,33.4915824915825,112.774618360503,"LGALS3"
